Day,Hour,Latency,Jitter,Download,Upload,Packet Loss
Fri,00:00,57.83,15.94,12.25,3.86,0.51
Fri,01:00,48.15,21.56,10.91,4.34,0.09
Fri,02:00,41.38,21.92,18.05,5.3,0.58
Fri,03:00,45.62,24.51,13.72,5.2,1.07
Fri,04:00,43.73,22.51,18.96,5.52,0.37
Fri,05:00,,,,,
Fri,06:00,,,,,
Fri,07:00,,,,,
Fri,08:00,44.63,22.34,8.29,3.71,0.12
Fri,09:00,50.25,22.25,7.11,3.29,0.16
Fri,10:00,46.61,26.28,6.83,1.91,0.58
Fri,11:00,75.39,41.63,6.93,1.87,0.34
Fri,12:00,58.05,18.97,6.71,1.4,2.26
Fri,13:00,54.79,15.05,4.93,2.33,0.07
Fri,14:00,52.17,18.45,6.14,2.18,0.2
Fri,15:00,51.79,16.42,7.24,2.54,1.03
Fri,16:00,48.82,19.11,6.68,2.02,0.07
Fri,17:00,48.98,19.83,5.88,2.55,0.05
Fri,18:00,52.04,16.92,5.72,1.86,0.0
Fri,19:00,69.0,20.41,4.63,1.01,0.12
Fri,20:00,51.17,24.26,7.06,1.68,0.08
Fri,21:00,58.01,16.36,5.61,1.89,1.85
Fri,22:00,61.12,15.17,3.46,1.27,0.03
Fri,23:00,47.33,21.9,2.88,3.04,0.07
Mon,00:00,45.27,21.04,11.27,4.35,0.7
Mon,01:00,48.03,18.78,13.22,4.63,0.39
Mon,02:00,48.02,17.03,15.18,5.1,0.46
Mon,03:00,56.22,17.08,19.15,4.85,1.25
Mon,04:00,56.86,10.01,22.28,4.96,1.78
Mon,08:00,,,,,
Mon,09:00,64.98,14.37,6.93,0.86,0.44
Mon,10:00,79.09,30.28,7.69,1.44,0.19
Mon,11:00,83.67,42.63,4.32,1.1,0.92
Mon,12:00,70.17,24.86,4.03,1.33,0.9
Mon,13:00,61.03,22.07,4.23,1.53,1.99
Mon,14:00,59.53,14.73,5.99,2.15,0.49
Mon,15:00,61.49,29.4,6.43,1.92,0.29
Mon,16:00,46.61,18.7,6.88,2.5,0.13
Mon,17:00,68.91,28.45,5.12,1.78,0.15
Mon,18:00,63.51,14.8,8.53,1.33,1.21
Mon,19:00,51.95,19.84,4.43,2.27,0.0
Mon,20:00,47.29,17.46,4.07,1.98,0.0
Mon,21:00,51.64,16.09,4.78,1.9,0.02
Mon,22:00,51.12,16.19,3.22,1.95,0.78
Mon,23:00,50.56,57.39,5.0,3.45,0.07
Sat,00:00,42.52,21.98,7.95,4.21,0.14
Sat,01:00,40.97,29.07,12.76,4.91,0.07
Sat,02:00,40.7,24.49,14.5,5.43,0.19
Sat,03:00,44.58,20.69,16.46,5.62,0.27
Sat,04:00,,,,,
Sat,05:00,,,,,
Sat,06:00,,,,,
Sat,07:00,,,,,
Sat,08:00,,,,,
Sat,09:00,167.01,38.77,10.12,3.42,0.1
Sat,10:00,57.38,15.84,5.8,1.73,0.14
Sat,11:00,70.7,18.51,3.26,0.54,1.6
Sat,12:00,55.73,24.89,4.66,1.85,0.64
Sat,13:00,58.69,27.82,4.9,1.94,0.18
Sat,14:00,53.36,20.78,5.97,2.1,0.45
Sat,15:00,56.55,14.8,5.35,1.89,1.88
Sat,16:00,52.32,20.56,5.49,2.28,1.24
Sat,17:00,53.37,18.92,3.6,1.81,0.05
Sat,18:00,53.58,16.29,4.42,1.62,0.14
Sat,19:00,58.79,23.52,3.29,1.68,0.32
Sat,20:00,64.42,12.36,3.07,1.28,0.61
Sat,21:00,50.7,18.75,4.62,1.83,0.27
Sat,22:00,55.93,18.57,5.25,2.3,0.64
Sat,23:00,51.41,20.53,5.84,2.54,0.2
Sun,00:00,51.0,21.18,9.4,3.0,0.04
Sun,01:00,47.65,21.79,14.53,3.29,0.48
Sun,02:00,50.89,27.72,16.78,3.79,0.26
Sun,03:00,46.62,21.24,20.7,4.07,0.28
Sun,04:00,48.98,18.62,21.22,4.08,0.14
Sun,05:00,55.18,20.43,19.45,4.17,0.68
Sun,06:00,48.99,21.76,14.18,3.77,0.05
Sun,07:00,50.67,23.4,11.92,2.88,1.16
Sun,08:00,44.73,29.75,8.33,2.74,0.06
Sun,09:00,50.04,17.03,7.35,1.82,0.08
Sun,10:00,43.97,19.31,5.94,2.47,0.0
Sun,11:00,50.69,26.99,6.4,2.56,0.31
Sun,12:00,53.28,28.22,5.18,2.37,1.17
Sun,13:00,68.56,42.51,4.81,2.39,0.29
Sun,14:00,55.03,20.83,3.17,1.38,0.06
Sun,15:00,50.9,15.23,3.99,1.59,0.22
Sun,16:00,45.11,24.06,6.4,2.13,0.21
Sun,17:00,52.82,19.17,8.6,2.06,0.71
Sun,19:00,48.0,18.73,6.89,1.9,5.18
Sun,20:00,84.95,35.26,5.8,1.68,0.79
Sun,21:00,50.46,19.89,5.09,1.99,1.71
Sun,22:00,49.27,24.84,4.19,2.38,0.03
Sun,23:00,47.23,20.61,7.17,3.67,0.08
Thu,00:00,42.96,20.9,6.54,3.64,0.1
Thu,01:00,40.67,20.63,12.26,4.1,0.0
Thu,02:00,40.08,20.04,17.6,4.4,0.22
Thu,03:00,42.3,22.27,20.02,4.47,0.78
Thu,04:00,41.3,18.73,17.01,4.36,0.17
Thu,05:00,41.81,20.99,15.91,3.35,0.38
Thu,06:00,41.58,21.13,11.72,4.0,0.08
Thu,07:00,44.44,19.28,9.52,3.66,1.47
Thu,08:00,43.45,24.36,8.41,2.55,0.17
Thu,09:00,58.86,24.84,6.99,1.58,1.61
Thu,10:00,45.52,26.66,5.21,0.96,0.49
