,Server,Latency,Jitter,Download,Upload,Packet Loss
Tue Jun 22 12:38:01,Airtel Broadband - Chennai,39.54,21.98,6.63,1.41,
Tue Jun 22 12:40:01,Airgenie - Chennai,78.52,1.77,5.50,1.36,
Tue Jun 22 12:42:01,Airtel Broadband - Chennai,71.26,9.71,5.39,1.70,
Tue Jun 22 12:44:01,TataSky Broadband Private Limited - Chennai,41.48,20.52,3.24,1.05,0.0
Tue Jun 22 12:46:01,,,,,,
Tue Jun 22 12:48:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,78.04,2.55,7.99,,
Tue Jun 22 12:50:01,ACT Fibernet - Chennai,42.17,19.01,5.58,1.33,0.0
Tue Jun 22 12:52:01,Airtel Broadband - Chennai,54.05,9.59,11.48,1.69,
Tue Jun 22 12:54:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,43.17,24.20,3.85,1.83,
Tue Jun 22 12:56:01,TataSky Broadband Private Limited - Chennai,43.17,27.58,5.57,1.23,0.0
Tue Jun 22 12:58:01,Airgenie - Chennai,38.97,16.60,2.20,1.51,
Tue Jun 22 13:00:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,40.70,27.43,4.45,1.21,
Tue Jun 22 13:02:01,Arjuntelecom - Chennai,42.43,18.83,3.17,1.50,0.4
Tue Jun 22 13:04:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,41.07,28.43,2.72,1.28,
Tue Jun 22 13:06:01,Airtel Broadband - Chennai,64.52,3.86,7.61,1.77,
Tue Jun 22 13:08:01,Airgenie - Chennai,39.77,24.66,5.76,1.60,
Tue Jun 22 13:10:01,Airtel Broadband - Chennai,83.42,22.90,6.04,1.66,
Tue Jun 22 13:12:01,Cherrinet - K Net Solutions Pvt Ltd - Chennai,40.68,23.42,2.54,1.67,
Tue Jun 22 13:14:01,Sri Vari Network Private Limited - Chennai,40.28,25.71,10.85,1.88,
Tue Jun 22 13:16:01,Airtel Broadband - Chennai,38.81,29.29,6.53,0.78,
Tue Jun 22 13:18:01,Airgenie - Chennai,48.17,11.44,0.84,0.84,
Tue Jun 22 13:20:01,Airtel Broadband - Chennai,75.90,3.16,5.22,0.85,
Tue Jun 22 13:22:01,,,,,,
Tue Jun 22 13:24:01,Airtel Broadband - Chennai,74.52,44.25,1.64,1.16,
Tue Jun 22 13:26:01,Jio - Chennai,73.56,5.69,3.42,0.72,
Tue Jun 22 13:28:01,Vi India - Chennai,96.65,7.61,4.70,0.89,0.0
Tue Jun 22 13:30:01,ACT Fibernet - Chennai,257.35,85.26,1.48,0.82,0.0
Tue Jun 22 13:32:01,TataSky Broadband Private Limited - Chennai,49.34,21.24,4.38,0.38,0.0
Tue Jun 22 13:34:01,Arjuntelecom - Chennai,42.05,14.98,1.21,0.91,0.0
